"date","lvl","n"
2016-02-14,"251-275",1194
2016-02-14,"276-300",384
2016-02-14,"301-325",210
2016-02-14,"326-350",187
2016-02-14,"351-375",108
2016-02-14,"376-400",103
2016-02-14,"401-425",98
2016-02-14,"426-450",85
2016-02-14,"451-475",61
2016-02-14,"476-500",45
2016-02-14,"501-525",105
2016-02-15,"1-25",15160
2016-02-15,"26-50",28557
2016-02-15,"51-75",15964
2016-02-15,"76-100",13586
2016-02-15,"101-125",9284
2016-02-15,"126-150",5855
2016-02-15,"151-175",3559
2016-02-15,"176-200",2478
2016-02-15,"201-225",1250
2016-02-15,"226-250",2778
2016-02-15,"251-275",592
2016-02-15,"276-300",180
2016-02-15,"301-325",80
2016-02-15,"326-350",67
2016-02-15,"351-375",41
2016-02-15,"376-400",45
2016-02-15,"401-425",29
2016-02-15,"426-450",31
2016-02-15,"451-475",22
2016-02-15,"476-500",19
2016-02-15,"501-525",30
